trial,accuracy,cost_impossible,cost_minor,cost_no_match,fgw_alpha,gap_general_severe,gap_minor_general,ged_timeout,norm_angle,norm_cycle,norm_hdir,norm_vdir,norm_x,norm_y,simplification_epsilon,skel_threshold,use_angle_with_ox,use_cycle_count,use_horizontal_direction,use_normalized_x,use_normalized_y,use_vertical_direction
88,0.7143589743589743,33.28022259397998,0.32334366673327297,1.6983862277900945,0.6810733103361671,0.2342593113090723,0.1726834425734805,9.715822440071477,144.88965446337554,5.095070865532898,0.8324621057540486,2.94079529040231,2.8328545877057514,3.175125391011956,3.3004557761788966,160,1,1,1,1,1,1
89,0.711864406779661,13.734183552104886,0.2674482429360294,1.4827107575654277,0.7903370333227548,0.1952474237604256,0.17516811780606506,7.201264582601042,142.82646307878574,3.7438605825003113,2.3072369742324312,3.6835806271719886,2.8934732779688477,1.854331433875717,2.4512669133362586,160,1,0,1,1,1,0
90,0.6870818322182193,26.861174655629327,0.1464372093183178,1.6455855171191462,0.5342590062728015,0.1948316548058575,0.24777303552366442,5.259601545974099,201.53921638090583,3.7285095368527554,1.9802406951192622,3.1831415119978965,2.2340648081904337,1.6204873362649193,3.1028061488141985,120,1,0,1,1,1,0
91,0.6808838643371018,5.184039031653931,0.23345760315737074,1.665334742525305,0.4649219569507532,0.13816867063416083,0.1676261625306424,6.713398645438586,196.26449994634925,3.828011379311304,2.730126778695603,3.474412936494213,2.8117584310409556,2.4098873920161052,2.7695979131506756,120,1,1,1,1,0,0
92,0.7274127310061602,17.209164649769328,0.26561022438038845,1.5294253951642045,0.6224984442485401,0.19681945702581005,0.19054903685172148,8.157989155994953,97.68371186257107,2.2230137282860474,2.6199580851804267,3.0694265791710134,2.4457203806829204,1.8721845814302394,1.80162296696331,130,1,1,1,1,1,0
93,0.6877247046738573,9.918249920283202,0.2890853623807437,1.446151107656279,0.6825722509005999,0.22099859319824477,0.13624923700794905,6.572839015471397,154.7526214793739,4.609062744543453,2.079239834965336,2.3325519797109324,2.5654439916843703,1.7535199803164496,3.182641166061129,130,0,0,1,1,1,0
94,0.7462839569451564,65.06320527586722,0.2614384938050878,0.8903353353426744,0.6241639252258513,0.16048756734002823,0.16920434008584306,11.435361465558163,115.79139905853667,1.1841741458496644,1.9495596743725416,3.4894696237369924,2.8634669809653888,2.2499515951615567,3.1194576619996663,140,1,1,1,1,1,0
95,0.7379239465570401,98.67023763510727,0.277483900399228,1.7649678329821599,0.6081049010519781,0.23577715364700985,0.17765891936605954,6.854492126505809,136.03637294574824,3.2332649520446823,2.6752476725989123,2.5086827090765267,2.821970136105222,1.1382272692288338,1.9469429626482975,150,1,1,1,1,1,0
96,0.736896197327852,35.70163612655505,0.38733432502992127,1.2689743729102902,0.7329139296665467,0.21750615088807163,0.22976332618399503,7.32275314336688,30.094515520707787,3.16075608658665,2.872791465043139,2.906754288701337,2.314829333751271,2.9728877219793546,1.2664722375349413,130,1,1,1,1,1,0
97,0.6835051546391753,24.39451761678414,0.26406153694265566,1.5607250482449824,0.23602276537415176,0.22753991019465136,0.19446743657047377,7.463193529944788,107.79012768120229,2.331040601691863,2.774792467908015,3.457094071619295,1.200215087555448,2.8667223492774925,3.130184774242223,140,1,0,1,1,1,1
98,0.7141388174807198,24.45174908009282,0.3240058016132377,1.7155826649872983,0.5836120487296146,0.19351863407767117,0.13626690597539842,10.873158953239091,125.90463819042003,2.7766421997394577,2.4296827746912593,3.3937036564317737,2.2068452817793185,2.3857957801697895,2.552693066971322,150,1,1,1,1,1,1
99,0.7268993839835729,29.557443350624467,0.3120499632506712,1.5634117132604852,0.5771348940542024,0.15022306582287748,0.20877664992551687,6.242546509054099,184.28035663711097,3.2875091232737357,1.5291499419729342,3.2349379361742616,2.2044851571938784,1.8157331126529743,3.099371009571548,150,1,1,1,1,1,0
100,0.7311053984575836,27.075318962176198,0.2508517170218558,1.2915222667238,0.7116399818678507,0.23221018328441723,0.14581232621522697,8.302338541103847,72.26528530634371,4.611598381119652,2.2853723068603564,2.8138233283470564,2.794516294815798,3.3986607714218797,2.385957216224279,130,1,0,1,1,1,0
