trial,accuracy,running_best
62,0.6979487179487179,0.731006160164271
63,0.7089322381930184,0.731006160164271
64,0.696969696969697,0.731006160164271
66,0.7239074550128535,0.731006160164271
67,0.6326321190354027,0.731006160164271
68,0.6524640657084189,0.731006160164271
69,0.6433710174717369,0.731006160164271
70,0.7106076210092688,0.731006160164271
71,0.7384378211716341,0.7384378211716341
72,0.7151670951156812,0.7384378211716341
73,0.7021058038007191,0.7384378211716341
74,0.7055498458376156,0.7384378211716341
76,0.7222792607802875,0.7384378211716341
79,0.697327852004111,0.7384378211716341
80,0.7225077081192189,0.7384378211716341
81,0.7255002565418163,0.7384378211716341
82,0.7012853470437018,0.7384378211716341
83,0.6622039134912462,0.7384378211716341
84,0.7271325796505652,0.7384378211716341
85,0.7143592382913021,0.7384378211716341
86,0.7239074550128535,0.7384378211716341
87,0.7231085949562532,0.7384378211716341
88,0.7143589743589743,0.7384378211716341
89,0.711864406779661,0.7384378211716341
90,0.6870818322182193,0.7384378211716341
91,0.6808838643371018,0.7384378211716341
92,0.7274127310061602,0.7384378211716341
93,0.6877247046738573,0.7384378211716341
94,0.7462839569451564,0.7462839569451564
95,0.7379239465570401,0.7462839569451564
96,0.736896197327852,0.7462839569451564
97,0.6835051546391753,0.7462839569451564
98,0.7141388174807198,0.7462839569451564
99,0.7268993839835729,0.7462839569451564
100,0.7311053984575836,0.7462839569451564
101,0.7406266050333847,0.7462839569451564
102,0.6147919876733436,0.7462839569451564
103,0.6649537512846866,0.7462839569451564
104,0.6863753213367609,0.7462839569451564
105,0.7419023136246786,0.7462839569451564
106,0.7510288065843621,0.7510288065843621
107,0.6913199794555727,0.7510288065843621
108,0.728952772073922,0.7510288065843621
109,0.7316572601334017,0.7510288065843621
110,0.7184615384615385,0.7510288065843621
111,0.7055498458376156,0.7510288065843621
112,0.7262455059065228,0.7510288065843621
113,0.7055498458376156,0.7510288065843621
114,0.7444730077120822,0.7510288065843621
115,0.4951156812339332,0.7510288065843621
116,0.6985105290190036,0.7510288065843621
117,0.710174717368962,0.7510288065843621
118,0.7226502311248074,0.7510288065843621
119,0.737301180092355,0.7510288065843621
120,0.6475115443817342,0.7510288065843621
121,0.6498714652956298,0.7510288065843621
122,0.7051874678993323,0.7510288065843621
123,0.7303543913713405,0.7510288065843621
124,0.7252182845403184,0.7510288065843621
125,0.6334190231362468,0.7510288065843621
126,0.7332990750256937,0.7510288065843621
127,0.7308680020544427,0.7510288065843621
128,0.7305912596401029,0.7510288065843621
129,0.7318952234206472,0.7510288065843621
