trial,accuracy,duration_s,cost_impossible,cost_minor,cost_no_match,gap_general_severe,gap_minor_general,ged_timeout,norm_angle,norm_cycle,norm_hdir,norm_x,norm_y,simplification_epsilon,skel_threshold
33,0.752185,316,25.22751261251289,0.2581310497543615,1.2316636503484033,0.16289463822073713,0.27482551082252105,9.958247851839442,268.4656409795738,3.210983774359305,1.5101240283540016,2.6859976654525006,2.0108402930069396,3.6964488399075144,140
34,0.754494,198,8.633416250838692,0.2147539348943796,1.3891528321714803,0.17734016371599864,0.17232632415887408,12.606933540392118,240.14069120095417,2.5973953331366255,2.063970613908443,2.518842154704134,2.4178580983491393,3.8519432136231213,120
35,0.744473,137,4.85498109596998,0.3009667531045129,1.051533579755918,0.17905575866700119,0.27662801029688683,8.485227437902433,252.5017082432393,2.884515686879144,1.5730675051477776,3.2579954506147457,2.640223329865238,4.569768763183343,110
36,0.731282,239,11.095264316164304,0.29892157285049786,1.6328316350865533,0.14576463020463643,0.21019447135094765,9.540661237188857,312.2798269981396,3.513256533552429,2.200178085823474,4.063340754837107,3.0869584056445087,3.7665070306268396,140
37,0.746914,252,12.441113793019175,0.18324662387886964,1.4549127450531418,0.20116452004245594,0.20193567961629638,10.56390037605578,228.33890621867707,1.5972171735150835,2.4344417363511126,3.563022937580141,2.0450769501169805,3.3558606077012905,130
38,0.751543,232,10.436720619669133,0.2890208180778933,1.3534422960677435,0.1742715418790616,0.17753764655410814,9.286987762533967,266.2456510818698,2.9841843176962506,1.9008756972176073,2.8740503034616336,3.665969560151316,4.426916842812742,140
39,0.703951,489,9.112233943405196,0.3248797273918565,1.379438895104828,0.21470522810158726,0.21017396354458667,10.848095234621582,265.1288829332228,4.1351605824724595,2.063487161582291,2.523648249263598,2.524754203627548,3.1190172272731687,140
40,0.755133,181,11.985277943705047,0.20834215375707837,1.2860967287457776,0.22308895586391075,0.16377004067780399,8.193342625161673,285.5108883004831,3.463797793409874,1.6702493180426354,2.5193068867275334,3.5037475359836927,4.457731425115412,140
41,0.729188,220,16.39153335668374,0.1679725872362779,1.2938164959715925,0.14117288178051246,0.1829325047393589,12.615672635618747,275.4890733211213,2.9474660753846864,2.733156543334277,4.005828304295747,2.287640887331447,3.8581096629576566,140
42,0.725732,207,6.494298123483528,0.168808680450298,1.23728308789195,0.11293336937888453,0.21342890168294965,10.849682172449253,257.755879767805,2.4585972013501634,2.4030625616249184,3.7932306868046917,2.9553088314306213,3.6394130280064276,120
43,0.731244,417,5.020171169445466,0.19347739497882915,1.334484256868797,0.2134913832970739,0.21273041081024424,10.085961674240185,239.65649352065054,2.466308095114589,2.4868984415509745,2.9771161434545803,2.8432294217795486,2.7095978004572125,140
44,0.700771,238,12.396033167876112,0.15765920598014005,1.3569711199154126,0.16668306564298555,0.1986861362969899,8.39930820642346,284.9724683850352,4.9561707707235625,1.690622084384363,2.8551880769625946,3.3272573208996166,3.8457952041153747,140
45,0.752699,179,13.871418761626472,0.24555602607700883,1.2940816927465406,0.16451697652505176,0.17191112150186985,9.822424429289635,316.80139302242367,3.396308355974166,1.6905640027370148,4.35040265331287,3.5637291757192644,4.229570863274606,140
46,0.761562,168,12.366529326573266,0.251389401851316,1.1972358349379293,0.1663348096531349,0.14810852542838165,10.583749694022426,295.5385073859605,3.8176460232250635,3.021875093060239,3.0425793151394376,3.1599742632481718,4.708157041700838,130
47,0.750643,361,13.865709642692192,0.24411056247609975,1.1914936017978668,0.17265157230526013,0.24873834650114357,8.671910559687442,265.008863172258,3.577732144111804,2.8712995486732824,2.3090737789768006,3.4332569806589546,3.0218064491727272,150
48,0.755133,314,4.54927084008936,0.19865567816901147,1.439991987202505,0.15079712861794808,0.1844075189226319,10.906665556740839,259.3837401575811,3.27069258817703,2.307444633933515,3.6801466842215946,2.5585231458989273,2.961957319044746,130
49,0.717804,179,12.746269516590957,0.17050817430074683,1.3352779032223197,0.15506611355043615,0.15174366416525703,9.25262572514739,297.43088377923596,3.5991187271617506,2.449498382726836,2.5781338181445466,4.0952954836432065,4.453204356742738,140
50,0.727413,574,5.406325490487276,0.29546527394731464,1.3114050751855304,0.15273668018586328,0.13149020177664272,11.924802462419255,281.8257080076701,4.246978041689944,1.5418516378647535,3.398138901704968,3.658429402237507,3.4063871190933614,130
51,0.739086,127,8.811307170835837,0.26670874850753234,1.1247407561608056,0.24517799587687072,0.1032855529924854,9.959027723203157,247.2789742760399,2.9096064951171754,2.3183909924249093,3.158609489310817,3.572366304718314,5.420769767107622,130
52,0.758993,302,8.859306650949735,0.263635172629064,1.2674250661222395,0.17665603940479896,0.18918204664488086,7.250615435155505,274.31214750666413,3.7837171209630065,2.1800128852827587,3.261223149542755,2.7678781249648328,3.439358601324638,150
53,0.761954,287,8.164127831834781,0.207814000188199,1.1587742689418477,0.16452996647729085,0.1515948742780983,11.737581986023034,302.7334803768626,3.5986311904475596,1.597596623161129,4.15760652525753,3.300532232483452,3.123454621753992,140
54,0.750000,158,12.167603138886728,0.2678568173766183,1.340043360761039,0.24970898811328668,0.1698666130585338,10.645942664790146,256.3945506984551,3.1855285302385408,2.2828074045131657,3.5817083509256453,3.2958771491583123,4.695321414571476,130
55,0.716195,127,6.816778131899493,0.16929907817013895,1.219517013146771,0.21370584360118944,0.20414034814499532,9.311154861680702,319.97467923636754,2.5164903047590514,2.5088716799479718,3.267072596520164,2.6353460539169307,4.655131648976399,130
56,0.746024,184,5.149793528075067,0.267822130458912,1.3451423711285928,0.2022837720624613,0.14506911580895943,10.8349732060918,348.64194215768373,4.2673622111880976,2.684705100003842,4.567545667551228,3.5605147701343145,4.830519105687587,140
