trial,accuracy,state,duration_seconds,cost_impossible,cost_minor,cost_no_match,gap_general_severe,gap_minor_general,ged_timeout,norm_angle,norm_cycle,norm_hdir,norm_vdir,norm_x,norm_y,simplification_epsilon,skel_threshold,use_angle_with_ox,use_cycle_count,use_horizontal_direction,use_normalized_x,use_normalized_y,use_vertical_direction
77,0.5866,COMPLETE,293.7,8.70327,0.179433,1.496794,0.189613,0.238398,11.922145,162.916773,3.949965,1.917818,2.057214,3.581724,3.600738,4.71805,160,1,1,1,0,0,0
78,0.6339,COMPLETE,1822.9,23.429283,0.274083,1.392727,0.246151,0.254935,8.172114,104.262092,2.208551,0.958275,2.234107,1.903264,4.116779,1.234183,130,1,1,1,1,0,1
79,0.5975,COMPLETE,1889.5,49.128213,0.17708,1.248592,0.234938,0.196828,8.527448,237.363737,4.218773,1.448912,2.781139,2.878786,3.735255,1.673674,150,1,0,1,1,0,0
80,0.5845,COMPLETE,424.1,43.084187,0.15074,1.359372,0.188859,0.247065,9.078973,274.779313,0.630077,1.761916,2.270116,3.88867,3.064809,3.155804,100,1,1,1,0,0,1
81,0.672,COMPLETE,101.7,23.209107,0.275033,1.297412,0.226117,0.195996,7.615028,317.491238,2.810689,1.849917,1.498836,2.620205,3.180115,6.825684,120,1,1,1,1,0,0
82,0.6465,COMPLETE,1136.4,5.523822,0.304983,1.133701,0.229312,0.25797,5.884107,309.62578,4.184569,1.521634,3.084022,2.105446,1.246735,2.099585,150,1,1,1,1,0,1
83,0.7098,COMPLETE,385.9,15.119128,0.201741,1.12459,0.21583,0.226931,10.115212,238.818615,3.539099,1.988654,2.388944,2.407861,2.789125,3.341366,130,1,1,1,1,0,0
84,0.6057,COMPLETE,394.3,9.90668,0.149716,1.337069,0.225714,0.227632,9.091316,201.566308,4.720816,2.145061,1.812818,2.967876,2.778173,3.989953,130,1,1,1,0,0,1
85,0.6944,COMPLETE,224.9,6.401541,0.277514,1.039015,0.209097,0.242569,8.264956,251.228721,2.974369,2.174806,1.544832,2.140736,3.024576,4.054138,160,1,1,1,1,0,0
86,0.5732,COMPLETE,278.1,23.340076,0.216738,0.986518,0.226711,0.200372,11.166193,215.262095,3.276604,2.374385,2.711711,3.42083,4.347232,4.993313,160,1,1,1,0,0,1
87,0.6922,COMPLETE,141.7,44.787392,0.227475,1.213086,0.250945,0.138175,9.499214,179.59515,2.265192,1.382949,2.587168,2.94636,4.112013,5.448635,170,1,1,1,1,0,1
88,0.6835,COMPLETE,147.5,11.035103,0.29114,1.284019,0.227823,0.183642,9.803676,203.97087,1.794937,2.11839,2.504342,4.30821,2.400815,6.053662,130,1,1,1,1,0,0
89,0.6708,COMPLETE,358.2,4.335607,0.299343,1.344726,0.253702,0.206882,4.955924,242.471811,4.798812,1.301756,1.860064,3.798876,3.080487,3.250303,120,1,1,1,1,0,0
90,0.6593,COMPLETE,136.3,6.692586,0.322469,1.369957,0.252704,0.257389,8.35071,171.016236,2.373866,2.026847,3.039467,4.164486,3.241818,5.316001,150,1,1,1,1,0,0
91,0.5796,COMPLETE,157.6,19.022216,0.250835,1.468847,0.225875,0.215132,9.972302,204.474682,4.462446,1.356729,2.34917,3.002875,2.255892,5.810906,160,1,1,1,0,0,1
92,0.6229,COMPLETE,187.3,11.602813,0.157739,1.19966,0.247122,0.237493,7.597914,197.579863,4.161462,1.838834,3.268264,3.181569,2.83387,6.263261,150,1,1,1,0,0,0
