trial_number,value,fold,diagnostic_weight_epsilon,norm_normalized_x,norm_normalized_y,norm_distance_to_centroid,norm_horizontal_direction,norm_vertical_direction,norm_angle_with_ox,norm_junction_angle_min,norm_length_ratio_to_max,norm_eccentricity,norm_avg_neighbor_vector_length,norm_neighbor_endpoint_count,norm_neighbor_junction_count
179,0.784173,3,1.0907,4.0213,4.8255,2.2105,2.0469,2.265,184.3639,149.384,2.6435,12.0388,70.6558,5.7119,3.2528
180,0.774974,0,0.9888,2.5816,4.1405,0.916,1.2642,2.8329,107.6641,193.2829,3.0814,11.1535,59.0863,7.0136,3.1212
181,0.784354,1,0.6719,4.2332,2.6633,1.1986,2.0807,4.3427,177.848,196.6959,2.5401,13.1245,62.6659,4.5766,3.1014
182,0.777378,2,1.0081,2.9859,3.1669,2.2334,1.7861,3.0048,113.5586,193.2695,3.1218,12.0729,67.5225,6.4694,1.749
183,0.777892,3,0.7346,1.6979,2.9729,1.1291,1.6805,5.1306,123.7555,220.2638,3.0317,10.2409,73.7652,5.5864,4.2242
184,0.768914,0,0.923,3.0065,4.5745,1.6295,2.9869,3.4873,164.6681,161.9287,3.0684,15.1145,81.8854,3.9578,2.3603
185,0.786523,1,0.9481,4.5444,3.2935,0.3898,3.072,2.8858,236.8566,222.8387,1.6389,12.8995,68.367,4.7986,2.2166
186,0.772354,2,1.0175,2.9539,2.5165,1.836,3.3372,2.6387,143.4041,207.1723,2.5534,14.0178,70.0221,6.717,1.4275
187,0.772237,3,0.9028,3.2872,2.6375,2.3737,2.2171,3.861,138.3149,180.5359,2.099,14.3429,69.8359,4.8818,1.6241
188,0.769666,0,1.1512,4.2711,5.3829,1.7737,1.7206,3.971,202.361,194.7745,2.4347,11.8729,72.2901,5.9775,2.1587
189,0.79321,1,1.0799,3.5882,2.9467,1.2542,3.5338,4.5477,178.9715,208.6412,2.7476,13.484,75.6582,5.7828,1.1721
190,0.771561,2,0.9701,2.9171,4.3846,1.569,2.8369,3.9071,119.8248,246.2407,2.816,14.517,67.4486,5.1659,2.9547
191,0.781491,3,0.926,4.495,3.6485,1.6279,2.9183,3.3088,199.2176,225.6599,2.234,14.1563,68.691,4.113,2.2357
192,0.766975,0,1.0581,3.3827,3.7975,1.9407,3.8958,2.8008,157.39,235.6431,1.7928,10.422,71.3245,3.871,1.8049
193,0.782407,1,1.1311,2.7322,2.7856,1.5231,2.7298,4.1804,154.852,213.5014,3.2592,12.0364,59.6072,6.4633,4.6171
194,0.778406,2,1.0645,1.8335,4.3195,1.7507,2.2746,3.8214,129.6726,232.1596,2.6787,12.8776,76.9199,6.1979,2.9884
195,0.783213,3,0.8507,2.7251,3.0521,1.844,2.8697,3.6438,131.1473,236.6048,2.6925,13.4274,75.3493,5.5072,4.2592
196,0.7661,0,1.0449,2.6888,4.2148,0.473,3.3295,3.1296,228.3468,207.6234,2.9674,14.0223,65.9782,5.136,1.5705
197,0.783213,1,1.1287,3.7954,3.3462,1.0953,3.2287,3.5917,189.5187,252.6162,2.5383,13.7906,55.8958,5.1953,1.8335
198,0.76927,2,0.9321,5.0429,4.7377,0.9208,4.8779,4.0716,162.3716,181.4048,2.5134,13.771,70.3367,5.4438,1.4285
199,0.764132,3,0.9011,3.3781,3.2155,0.8768,3.4688,4.97,145.7841,232.6812,2.7079,15.4207,85.7624,4.9413,3.1377
