trial_number,value,fold,diagnostic_weight_epsilon,norm_normalized_x,norm_normalized_y,norm_distance_to_centroid,norm_horizontal_direction,norm_vertical_direction,norm_angle_with_ox,norm_junction_angle_min,norm_length_ratio_to_max,norm_eccentricity,norm_avg_neighbor_vector_length,norm_neighbor_endpoint_count,norm_neighbor_junction_count
104,0.763374,0,1.0541,2.4368,4.9413,0.8056,2.547,2.8995,231.3833,304.8103,3.1722,9.5381,66.7043,4.3487,5.0487
105,0.78281,1,1.0733,2.8843,3.8634,1.6245,2.3374,4.5999,149.5103,105.2227,3.2647,8.6055,45.4565,4.0815,6.4995
106,0.773663,2,1.5308,2.1036,3.8709,2.0999,1.2462,5.3357,174.8704,221.7207,3.9095,5.2405,58.7827,3.152,6.1544
107,0.770694,3,0.8826,1.0503,7.1123,2.2175,4.767,5.2886,219.5596,145.9381,3.3162,10.4909,45.8223,5.4544,6.1113
108,0.773779,0,1.063,1.2096,1.209,0.5593,3.0572,4.4942,152.1113,212.8993,3.2433,12.0752,46.7084,3.9804,4.3279
109,0.779321,1,0.8284,2.6849,4.3495,1.1085,1.6139,4.1436,169.7558,198.0743,2.2072,12.4802,65.2746,6.8534,6.0008
110,0.781715,2,1.1959,1.5282,3.0289,2.2385,1.1714,3.9374,139.5857,294.8605,2.0193,7.5237,61.0813,5.5465,7.2495
111,0.772119,3,1.0061,1.5183,5.2743,1.2026,2.2437,4.8417,174.0905,266.6184,3.0355,16.4309,54.8778,5.0883,6.0058
112,0.762223,0,1.0857,1.9012,4.0338,2.404,3.4357,3.781,149.5843,264.9596,2.9215,9.0261,55.3011,5.0332,5.7869
113,0.790937,1,1.0214,3.8461,3.5845,1.1397,1.4923,3.5197,167.7897,218.5172,3.4243,12.5327,64.7839,6.2211,5.1183
114,0.771443,2,1.1755,3.0046,3.8498,1.5076,2.5631,4.0413,179.0816,284.151,3.0123,11.3206,40.3977,2.502,5.8065
115,0.782631,3,0.7877,2.8976,4.2271,1.9237,1.7666,3.7254,240.1458,214.1022,2.5868,12.9727,48.1936,5.214,5.6292
116,0.770458,0,1.0267,2.1338,4.6195,1.7594,1.7909,3.0117,125.7437,314.3127,2.8408,7.6378,59.2088,5.5347,5.9949
117,0.791045,1,0.9733,1.6021,4.3657,1.4513,1.7366,3.7015,102.738,162.9746,3.2126,11.4613,35.8735,5.0567,4.5707
118,0.780062,2,1.1535,4.0671,4.9688,1.7097,3.2142,4.8945,112.5346,308.9905,2.2907,13.1074,61.4224,3.7783,6.4426
119,0.768243,3,1.0376,2.1653,4.2756,2.3932,1.9184,4.4303,133.3324,238.2455,3.6978,13.1992,47.9739,6.7384,5.0652
120,0.77184,0,0.766,2.7359,5.3371,1.1847,2.3595,3.4343,121.4598,221.0302,3.3102,14.6971,53.8016,4.1416,4.598
121,0.786523,1,0.7593,2.3576,4.6811,1.9299,2.0722,3.7301,126.8274,217.5831,3.3457,12.3159,45.9511,4.5017,5.6182
122,0.76927,2,1.0622,2.4633,4.4247,2.7885,1.649,2.9904,38.1828,219.2173,3.4246,11.6197,46.4837,6.4098,5.3188
123,0.781266,3,1.2499,3.7353,2.6947,1.9883,1.6449,2.9239,129.684,238.3194,3.0456,11.5263,57.8719,6.0615,5.3514
124,0.76828,0,1.1566,2.8568,2.6808,2.2951,1.3979,3.7026,160.8412,175.6288,1.9393,9.1375,39.7816,4.8204,5.0352
125,0.781266,1,0.9778,2.8233,4.2512,1.2294,1.4344,3.8574,139.4784,210.3526,2.8104,14.0404,37.4107,5.6268,8.1492
126,0.776465,2,1.1453,1.2026,3.5357,1.1807,2.8459,2.118,146.852,188.0937,3.5229,9.8433,61.8226,6.2169,4.8233
127,0.775321,3,0.8981,2.7469,4.3768,0.879,1.9198,3.2312,136.1439,194.0329,3.2656,10.6303,29.1221,7.2229,3.4384
128,0.767729,0,1.076,1.1453,4.1144,2.3005,1.3205,5.0191,152.7512,235.2415,3.3656,14.4341,45.7459,6.5078,5.228
129,0.783728,1,1.27,4.14,2.743,0.6145,1.6014,3.1407,164.283,221.0311,3.2112,14.0923,53.0551,6.1766,5.071
130,0.771561,2,0.9729,2.466,3.421,0.3538,2.9009,4.5,189.5655,213.7249,3.1636,14.5726,47.8168,6.9922,6.1707
131,0.782519,3,1.1632,3.6022,4.5043,0.8786,2.8575,3.5006,162.0226,199.2882,3.2162,9.605,35.2588,6.4209,5.8635
132,0.766187,0,0.8771,1.6572,3.5949,0.9605,2.4537,2.7896,202.7055,177.5536,3.2049,14.082,52.5371,4.9641,4.6009
133,0.798458,1,1.0546,2.9168,4.1234,1.6308,1.684,3.1247,164.3948,201.0413,2.8086,14.684,65.7814,5.9635,3.9344
134,0.765673,2,1.0374,1.5372,3.9893,1.92,3.1791,3.0341,209.0178,208.1021,2.6392,13.3764,40.2589,5.6005,5.4054
135,0.780751,3,0.6758,1.9034,3.5237,0.4791,1.8572,2.6064,195.7141,224.3781,1.7893,13.1922,63.7147,5.938,5.7843
136,0.772517,0,1.03,3.8038,3.5774,1.2011,1.4147,3.3913,159.9599,191.8166,3.5269,14.2613,36.5643,5.7114,5.9167
137,0.79321,1,1.2718,4.4687,4.0274,0.5019,2.3671,4.6524,136.8188,187.3823,2.415,16.4298,48.6275,3.4723,5.2263
138,0.76927,2,1.047,3.4213,1.8728,0.9468,1.9093,2.857,146.9059,306.7855,2.8112,8.2327,37.1863,5.6807,5.6024
139,0.773148,3,1.0999,2.4068,4.7219,1.487,2.4366,4.4577,92.9306,208.0832,2.6213,17.1681,54.2634,7.3688,5.5288
140,0.771605,0,0.6108,1.1414,4.9137,0.9086,2.823,2.8766,188.5136,192.4047,3.1945,13.8479,46.9761,6.0867,4.3767
141,0.782519,1,0.9769,3.2569,3.0364,0.7546,1.3474,2.8251,153.7545,186.894,2.6517,12.8102,56.4069,5.6359,5.5753
142,0.775385,2,1.3053,3.0191,2.1069,0.8615,2.0006,2.7563,189.7094,245.5045,1.9554,15.0018,45.7861,6.156,5.9275
143,0.784869,3,0.7737,3.9537,6.0856,0.9237,2.1355,4.0223,132.3756,236.8928,2.2056,13.4651,71.7555,5.7459,5.9345
144,0.765311,0,1.2779,5.9611,4.9988,0.7099,1.9224,3.136,126.2618,233.0763,2.5928,13.6092,42.1355,4.9521,5.4197
145,0.783436,1,1.3759,3.1611,4.2922,1.3505,1.5368,2.6442,180.6775,186.0906,2.6827,13.9978,51.3964,6.5319,3.5405
146,0.774293,2,1.0068,3.4923,2.8165,0.5953,1.4651,2.27,207.7296,218.58,2.5205,15.1739,41.1249,6.4476,5.0349
147,0.77892,3,1.2154,3.3625,5.5372,1.028,1.3285,3.2336,77.7358,196.789,2.7816,17.7688,51.2141,5.0003,4.6499
148,0.760288,0,1.234,1.9748,3.4046,1.2868,1.5754,2.9427,135.6133,218.6353,1.9154,12.2517,54.7583,5.5879,2.9814
149,0.784243,1,1.0178,2.926,3.5354,0.3603,2.1039,5.2539,151.4349,178.1605,2.755,14.2643,63.6781,5.6931,4.6083
150,0.77635,2,1.0898,3.8272,4.5195,1.1074,1.7805,4.0751,168.5172,166.4173,3.1492,12.1469,53.4859,4.1851,8.1922
151,0.775437,3,1.101,2.2346,4.6553,1.1872,2.4034,4.26,117.5885,187.4301,2.173,17.7787,79.5591,6.5208,2.8606
152,0.771487,0,0.8259,2.5716,4.3915,0.7797,2.7427,4.0466,138.2056,180.0854,1.7694,6.8845,71.8707,5.7787,4.1352
153,0.787147,1,1.1009,2.348,3.3925,1.3672,1.3968,3.8926,154.0272,190.9642,2.4991,15.0428,68.5109,6.8922,4.9761
154,0.773101,2,0.7709,3.33,3.4394,1.2302,2.3535,3.6825,55.274,228.1401,2.1363,14.7744,84.918,6.8844,6.2109
155,0.781266,3,1.0187,1.7544,4.4091,0.5106,1.7493,5.979,136.5822,179.1291,2.5533,12.1563,62.7368,5.747,3.7736
156,0.759897,0,1.3075,1.6216,6.4044,1.0256,2.8399,5.8119,157.6376,206.3075,2.334,16.3721,75.4136,4.9845,5.8329
157,0.787551,1,1.0941,4.1212,3.4363,1.9449,3.0074,2.6096,189.5218,219.8557,3.2813,11.4465,59.3112,5.6784,2.3085
158,0.773614,2,1.1438,1.3703,6.8204,0.5623,3.153,4.897,188.0857,187.694,1.689,16.2235,66.0222,4.712,6.1778
159,0.782519,3,1.0218,4.3473,5.6169,0.6459,3.0405,4.6553,194.7372,122.6984,3.1107,12.596,73.5166,5.6838,4.722
160,0.769666,0,0.9819,6.1794,2.7939,1.2064,1.6525,5.1838,121.0109,223.7233,3.1075,13.3818,69.2467,5.9305,4.7149
161,0.77635,1,1.0622,2.9919,1.961,1.1312,2.5618,2.912,185.6412,221.4402,2.0138,12.2631,57.84,4.9036,5.2907
162,0.779034,2,0.9234,3.3157,6.4838,0.9418,1.8534,5.7917,118.5728,218.4515,2.3267,15.807,63.6816,6.1589,6.4317
163,0.76927,3,1.3185,3.0432,4.2206,1.4216,2.514,3.6996,211.9589,179.2775,3.6491,12.5641,63.3515,7.8333,3.7636
164,0.763618,0,1.1617,3.8007,2.8198,1.1435,2.5581,4.0772,205.5126,199.4204,2.928,12.7641,68.4295,6.3548,3.2196
165,0.784869,1,0.9639,3.5281,3.9694,1.1738,2.1217,3.2574,203.8711,168.2975,2.8897,13.5956,67.6439,6.498,2.9503
